unique_number,rev_bis,name_en,date_inscribed,danger_list,Latitude,Longitude,area_hectares,C1,C2,C3,C4,C5,C6,N7,N8,N9,N10,criteria_txt,category,category_short,states_name_en
1591,Rev,Temple of Preah Vihear,2008,,14.3883333333,104.6838888889,154.7,1,0,0,0,0,0,0,0,0,0,(i),Cultural,C,Cambodia
2140,,"Temple Zone of Sambor Prei Kuk, Archaeological Site of Ancient Ishanapura",2017,,12.8725,105.0361111111,,0,1,1,0,0,1,0,0,0,0,(ii)(iii)(vi),Cultural,C,Cambodia
470,,Dja Faunal Reserve,1987,,3,13,526000,0,0,0,0,0,0,0,0,1,1,(ix)(x),Natural,N,Cameroon
2248,,L’Anse aux Meadows National Historic Site,1978,,51.46666667,-55.61666667,7991,0,0,0,0,0,1,0,0,0,0,(vi),Cultural,C,Canada
27,,Nahanni National Park,1978,,61.54722222,-125.5894444,476560,0,0,0,0,0,0,1,1,0,0,(vii)(viii),Natural,N,Canada
75,,Dinosaur Provincial Park,1979,,50.76777778,-111.4922222,7493,0,0,0,0,0,0,1,1,0,0,(vii)(viii),Natural,N,Canada
175,,S<U>G</U>ang Gwaay,1981,,52.095,-131.2202778,0,0,0,1,0,0,0,0,0,0,0,(iii),Cultural,C,Canada
176,,Head-Smashed-In Buffalo Jump,1981,,49.74944444,-113.6238889,4000,0,0,0,0,0,1,0,0,0,0,(vi),Cultural,C,Canada
286,,Wood Buffalo National Park,1983,,59.35833333,-112.2933333,4480000,0,0,0,0,0,0,1,0,1,1,(vii)(ix)(x),Natural,N,Canada
336,,Historic District of Old Québec,1985,,46.80944444,-71.21055556,135,0,0,0,1,0,1,0,0,0,0,(iv)(vi),Cultural,C,Canada
342,Bis,Canadian Rocky Mountain Parks,1984,,51.42472222,-116.4797222,2299104,0,0,0,0,0,0,1,1,0,0,(vii)(viii),Natural,N,Canada
483,,Gros Morne National Park,1987,,49.6125,-57.53138889,180500,0,0,0,0,0,0,1,1,0,0,(vii)(viii),Natural,N,Canada
812,Rev,Miguasha National Park,1999,,48.105,-66.35305556,87,0,0,0,0,0,0,0,1,0,0,(viii),Natural,N,Canada
875,,Old Town Lunenburg,1995,,44.37611111,-64.30916667,33.47,0,0,0,1,1,0,0,0,0,0,(iv)(v),Cultural,C,Canada
1475,,Rideau Canal,2007,,44.9943861111,-75.765125,21454.81,1,0,0,1,0,0,0,0,0,0,(i)(iv),Cultural,C,Canada
1516,,Joggins Fossil Cliffs,2008,,45.7097222222,-64.4358333333,689,0,0,0,0,0,0,0,1,0,0,(viii),Natural,N,Canada
1828,,Landscape of Grand Pré,2012,,45.1183333333,-64.3072222222,1323.24,0,0,0,0,1,1,0,0,0,0,(v)(vi),Cultural,C,Canada
1874,,Red Bay Basque Whaling Station,2013,,51.726925,-56.4295222222,312.973,0,0,1,1,0,0,0,0,0,0,(iii)(iv),Cultural,C,Canada
2083,,Mistaken Point,2016,,46.635,-53.2111111111,146,0,0,0,0,0,0,0,1,0,0,(viii),Natural,N,Canada
553,,Manovo-Gounda St Floris National Park,1988,Y 1997,9,21.5,1740000,0,0,0,0,0,0,0,0,1,1,(ix)(x),Natural,N,Central African Republic
1824,,Lakes of Ounianga,2012,,19.055,20.5055555556,62808,0,0,0,0,0,0,1,0,0,0,(vii),Natural,N,Chad
2091,,Ennedi Massif: Natural and Cultural Landscape,2016,,17.0416666667,21.8627777778,2441200,0,0,1,0,0,0,1,0,1,0,(iii)(vii)(ix),Mixed,C/N,Chad
846,,Rapa Nui National Park,1995,,-27.15,-109.45,6666,1,0,1,0,1,0,0,0,0,0,(i)(iii)(v),Cultural,C,Chile
1123,Rev,Historic Quarter of the Seaport City of Valparaíso,2003,,-33.04063889,-71.628,23.2,0,0,1,0,0,0,0,0,0,0,(iii),Cultural,C,Chile
1135,,Churches of Chiloé,2000,,-42.5,-73.76666667,0,0,1,1,0,0,0,0,0,0,0,(ii)(iii),Cultural,C,Chile
1869,Bis,Humberstone and Santa Laura Saltpeter Works,2005,,-20.20582,-69.79406,573.48,0,1,1,1,0,0,0,0,0,0,(ii)(iii)(iv),Cultural,C,Chile
